index,Components,RMSE,MAE,R^2
102,"['5', '6', '7', '8', '9', '10', '11', '12']",7.130439270839394,4.837004503554432,0.09685834516044467
103,"['5', '6', '7', '8', '9', '10', '11', '12', '13']",7.08126161295623,4.743178360337614,0.10927307296884525
104,"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",7.078810788089181,4.777133848739014,0.1098895275078563
105,"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",7.062238398110572,4.662586125352217,0.11405237096744636
106,"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16']",6.999596010366827,4.589175359866786,0.12969946113905362
107,"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",7.02441925777112,4.797016261708893,0.12351567766627514
108,"['0', '1', '2', '3', '4', '5', '6']",7.101149701741331,4.54124629150838,0.10426274183810957
109,"['1', '2', '3', '4', '5', '6']",7.149080669967928,4.819264647912081,0.09212993202655928
110,"['2', '3', '4', '5', '6']",7.2576152445469875,4.727990581990374,0.06435482120999125
111,"['3', '4', '5', '6']",7.288765583029546,4.979495621988519,0.05630583791655808
112,"['4', '5', '6']",7.412718325708703,5.077160797242961,0.02393599318623041
113,"['5', '6']",7.484147478211241,4.914149779043008,0.005034604831802625
114,['6'],7.488136029684133,5.1105582663658184,0.003973821845086434
115,"['6', '7']",7.414587823700051,5.053996304832203,0.023443601671485292
116,"['6', '7', '8']",7.389381419698019,5.187052590409375,0.03007205754428144
117,"['6', '7', '8', '9']",7.299672728389246,4.976018499693777,0.05347937555327942
118,"['6', '7', '8', '9', '10']",7.286981161529281,4.949348256747515,0.05676784811646085
119,"['6', '7', '8', '9', '10', '11']",7.182362182995104,4.941510099594484,0.0836573402762194
120,"['6', '7', '8', '9', '10', '11', '12']",7.227294898977166,5.142111503232288,0.07215623394155757
121,"['6', '7', '8', '9', '10', '11', '12', '13']",7.141001986128687,4.977672584943107,0.0941806156143159
122,"['6', '7', '8', '9', '10', '11', '12', '13', '14']",7.099996807205537,4.740775373500086,0.10455356988807052
123,"['6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",7.137978458116877,4.787664117560703,0.09494750812734287
124,"['6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16']",7.031758719618127,4.805293794721797,0.12168313216299342
125,"['6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",7.03629262391505,4.809531176280361,0.12055013298211703
126,"['0', '1', '2', '3', '4', '5', '6', '7']",7.008122364472182,4.662790619369076,0.12757790724117302
127,"['1', '2', '3', '4', '5', '6', '7']",7.074493454053576,4.684479739036006,0.11097494495114268
128,"['2', '3', '4', '5', '6', '7']",7.1184645905956065,4.929092457383638,0.09988922475771278
129,"['3', '4', '5', '6', '7']",7.159165573428811,4.770467836007941,0.08956673817010208
130,"['4', '5', '6', '7']",7.24669366142756,4.961397636871898,0.06716870358005689
131,"['5', '6', '7']",7.375706488966625,4.995902143572677,0.03365867018441371
132,"['6', '7']",7.413352911066984,5.02372053830571,0.023768868951161592
133,['7'],7.468533954637987,4.961641749996524,0.009181693362056764
134,"['7', '8']",7.4306754565954956,5.107134910231469,0.019201282356970606
135,"['7', '8', '9']",7.367394096832782,5.065131249755736,0.03583556855252623
136,"['7', '8', '9', '10']",7.335309227362728,5.09061190297974,0.04421512003121286
137,"['7', '8', '9', '10', '11']",7.291128402675489,5.073062926862432,0.05569389876241426
138,"['7', '8', '9', '10', '11', '12']",7.2392389529194,4.869500972472148,0.06908693247940634
139,"['7', '8', '9', '10', '11', '12', '13']",7.2094541297303305,4.819700666231787,0.07673139392809403
140,"['7', '8', '9', '10', '11', '12', '13', '14']",7.203341508346614,4.749539733891701,0.0782963387435659
141,"['7', '8', '9', '10', '11', '12', '13', '14', '15']",7.17018444427925,4.804740811864993,0.08676203512167124
142,"['7', '8', '9', '10', '11', '12', '13', '14', '15', '16']",7.122530500203253,4.916590814755962,0.09886068434931394
143,"['7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",7.107352412337108,4.662079663373449,0.10269724167488337
144,"['0', '1', '2', '3', '4', '5', '6', '7', '8']",6.98295400882769,4.7635094645988705,0.13383293544133312
145,"['1', '2', '3', '4', '5', '6', '7', '8']",7.102663651386295,4.802866828332684,0.10388076266013413
146,"['2', '3', '4', '5', '6', '7', '8']",7.099403700518841,4.7676684051219835,0.10470316800673485
147,"['3', '4', '5', '6', '7', '8']",7.186076529139613,5.065959484975866,0.08270932517340335
148,"['4', '5', '6', '7', '8']",7.211569105976923,4.889310114856269,0.07618961155230664
149,"['5', '6', '7', '8']",7.34538067376839,5.0438446406659585,0.04158871553162702
150,"['6', '7', '8']",7.392963036085353,5.0486849213006195,0.02913158593672116
151,"['7', '8']",7.436390746593144,5.187573571900305,0.017691943163740897
152,['8'],7.490299986170541,4.98279542210853,0.0033980660807919616
